id_prova;questao;resposta_certa;resposta_detectada;correta
2;1;B;B;✓
2;2;E;E;✓
2;3;A;A;✓
2;4;E;C;✘
2;5;A;A;✓
2;6;B;B;✓
2;7;E;E;✓
2;8;C;C;✓
2;9;D;D;✓
2;10;E;C;✘
2;11;E;C;✘
2;12;A;D;✘
2;13;C;B;✘
2;14;A;A;✓
2;15;E;E;✓
2;16;C;C;✓
2;17;D;D;✓
2;18;B;B;✓
2;19;C;C;✓
2;20;A;A;✓
2;21;E;B;✘
2;22;A;A;✓
2;23;E;E;✓
2;24;B;B;✓
2;25;D;B;✘
2;26;D;D;✓
2;27;C;C;✓
2;28;D;C;✘
2;29;D;D;✓
2;30;E;E;✓
2;31;C;C;✓
2;32;A;A;✓
2;33;E;E;✓
2;34;A;B;✘
2;35;E;B;✘
2;36;A;A;✓
2;37;D;C;✘
2;38;B;B;✓
2;39;A;A;✓
2;40;D;D;✓
2;41;D;D;✓
2;42;A;A;✓
2;43;E;E;✓
2;44;D;D;✓
2;45;D;D;✓
2;46;A;A;✓
2;47;C;C;✓
2;48;A;C;✘
2;49;C;C;✓
2;50;D;C;✘
2;51;D;D;✓
2;52;E;C;✘
2;53;A;A;✓
2;54;D;D;✓
2;55;A;A;✓
2;56;C;C;✓
2;57;C;B;✘
2;58;E;B;✘
2;59;E;E;✓
2;60;A;A;✓
4;1;D;D;✓
4;2;E;E;✓
4;3;C;C;✓
4;4;D;D;✓
4;5;B;B;✓
4;6;A;A;✓
4;7;E;E;✓
4;8;E;E;✓
4;9;B;B;✓
4;10;E;D;✘
4;11;C;C;✓
4;12;E;A;✘
4;13;D;A;✘
4;14;C;C;✓
4;15;A;A;✓
4;16;D;D;✓
4;17;D;A;✘
4;18;B;B;✓
4;19;C;C;✓
4;20;A;A;✓
4;21;E;A;✘
4;22;A;A;✓
4;23;E;E;✓
4;24;B;B;✓
4;25;C;A;✘
4;26;A;A;✓
4;27;C;A;✘
4;28;D;B;✘
4;29;E;B;✘
4;30;D;B;✘
4;31;A;A;✓
4;32;E;E;✓
4;33;C;C;✓
4;34;B;B;✓
4;35;A;A;✓
4;36;E;A;✘
4;37;E;B;✘
4;38;B;B;✓
4;39;A;A;✓
4;40;D;D;✓
4;41;C;A;✘
4;42;C;A;✘
4;43;D;D;✓
4;44;A;A;✓
4;45;B;A;✘
4;46;E;D;✘
4;47;C;B;✘
4;48;D;D;✓
4;49;C;C;✓
4;50;D;D;✓
4;51;E;E;✓
4;52;C;C;✓
4;53;A;A;✓
4;54;B;A;✘
4;55;D;D;✓
4;56;D;D;✓
4;57;E;D;✘
4;58;A;A;✓
4;59;B;B;✓
4;60;A;A;✓
5;1;A;A;✓
5;2;C;C;✓
5;3;C;C;✓
5;4;C;B;✘
5;5;E;B;✘
5;6;A;A;✓
5;7;E;D;✘
5;8;A;A;✓
5;9;D;D;✓
5;10;E;E;✓
5;11;E;D;✘
5;12;D;D;✓
5;13;B;B;✓
5;14;B;B;✓
5;15;A;A;✓
5;16;A;A;✓
5;17;B;B;✓
5;18;B;B;✓
5;19;B;B;✓
5;20;A;C;✘
5;21;B;A;✘
5;22;A;A;✓
5;23;E;E;✓
5;24;E;E;✓
5;25;B;B;✓
5;26;A;A;✓
5;27;A;A;✓
5;28;C;C;✓
5;29;C;C;✓
5;30;E;E;✓
5;31;C;C;✓
5;32;B;A;✘
5;33;C;C;✓
5;34;A;A;✓
5;35;C;C;✓
5;36;A;A;✓
5;37;C;C;✓
5;38;C;C;✓
5;39;E;E;✓
5;40;B;B;✓
5;41;D;A;✘
5;42;A;A;✓
5;43;B;B;✓
5;44;D;C;✘
5;45;D;C;✘
5;46;C;B;✘
5;47;B;B;✓
5;48;C;A;✘
5;49;C;C;✓
5;50;C;C;✓
5;51;C;C;✓
5;52;B;B;✓
5;53;A;A;✓
5;54;A;A;✓
5;55;B;A;✘
5;56;D;D;✓
5;57;C;C;✓
5;58;A;A;✓
5;59;E;D;✘
5;60;A;A;✓
7;1;B;B;✓
7;2;E;E;✓
7;3;A;A;✓
7;4;E;E;✓
7;5;D;D;✓
7;6;A;A;✓
7;7;D;C;✘
7;8;C;B;✘
7;9;B;B;✓
7;10;C;C;✓
7;11;A;A;✓
7;12;E;D;✘
7;13;E;E;✓
7;14;C;C;✓
7;15;C;C;✓
7;16;E;E;✓
7;17;D;D;✓
7;18;A;A;✓
7;19;C;C;✓
7;20;B;B;✓
7;21;E;E;✓
7;22;C;C;✓
7;23;E;E;✓
7;24;B;B;✓
7;25;C;C;✓
7;26;A;A;✓
7;27;A;A;✓
7;28;E;E;✓
7;29;C;D;✘
7;30;C;B;✘
7;31;C;C;✓
7;32;B;A;✘
7;33;C;B;✘
7;34;A;A;✓
7;35;E;E;✓
7;36;A;A;✓
7;37;A;A;✓
7;38;B;B;✓
7;39;A;A;✓
7;40;E;E;✓
7;41;D;A;✘
7;42;D;D;✓
7;43;B;B;✓
7;44;B;B;✓
7;45;C;C;✓
7;46;D;C;✘
7;47;D;A;✘
7;48;A;A;✓
7;49;E;C;✘
7;50;B;B;✓
7;51;E;E;✓
7;52;B;B;✓
7;53;A;A;✓
7;54;E;E;✓
7;55;C;C;✓
7;56;B;B;✓
7;57;A;B;✘
7;58;C;C;✓
7;59;B;B;✓
7;60;A;A;✓
9;1;A;A;✓
9;2;B;B;✓
9;3;C;A;✘
9;4;A;C;✘
9;5;D;D;✓
9;6;A;A;✓
9;7;A;D;✘
9;8;E;E;✓
9;9;A;A;✓
9;10;E;E;✓
9;11;D;D;✓
9;12;C;C;✓
9;13;B;B;✓
9;14;A;A;✓
9;15;A;A;✓
9;16;A;A;✓
9;17;B;B;✓
9;18;A;A;✓
9;19;B;B;✓
9;20;B;B;✓
9;21;E;E;✓
9;22;A;D;✘
9;23;B;B;✓
9;24;A;C;✘
9;25;C;C;✓
9;26;D;A;✘
9;27;E;D;✘
9;28;B;B;✓
9;29;C;C;✓
9;30;E;E;✓
9;31;B;A;✘
9;32;B;B;✓
9;33;D;D;✓
9;34;C;B;✘
9;35;E;D;✘
9;36;A;A;✓
9;37;C;D;✘
9;38;C;B;✘
9;39;C;B;✘
9;40;A;A;✓
9;41;B;A;✘
9;42;A;D;✘
9;43;E;E;✓
9;44;D;B;✘
9;45;D;B;✘
9;46;D;D;✓
9;47;A;A;✓
9;48;A;A;✓
9;49;C;A;✘
9;50;D;C;✘
9;51;C;C;✓
9;52;B;B;✓
9;53;B;B;✓
9;54;E;C;✘
9;55;C;C;✓
9;56;C;C;✓
9;57;B;B;✓
9;58;A;A;✓
9;59;C;B;✘
9;60;A;A;✓
10;1;C;C;✓
10;2;D;D;✓
10;3;E;D;✘
10;4;E;E;✓
10;5;B;B;✓
10;6;A;A;✓
10;7;D;A;✘
10;8;E;A;✘
10;9;D;C;✘
10;10;E;D;✘
10;11;C;A;✘
10;12;E;C;✘
10;13;B;A;✘
10;14;B;A;✘
10;15;E;D;✘
10;16;D;B;✘
10;17;B;A;✘
10;18;B;A;✘
10;19;E;D;✘
10;20;B;A;✘
10;21;E;E;✓
10;22;A;A;✓
10;23;B;B;✓
10;24;B;A;✘
10;25;D;B;✘
10;26;E;E;✓
10;27;A;A;✓
10;28;C;C;✓
10;29;A;A;✓
10;30;E;B;✘
10;31;C;C;✓
10;32;D;C;✘
10;33;C;C;✓
10;34;B;B;✓
10;35;B;B;✓
10;36;B;B;✓
10;37;D;D;✓
10;38;C;C;✓
10;39;E;E;✓
10;40;B;B;✓
10;41;C;B;✘
10;42;B;B;✓
10;43;B;A;✘
10;44;C;C;✓
10;45;D;D;✓
10;46;A;B;✘
10;47;C;B;✘
10;48;B;B;✓
10;49;D;D;✓
10;50;E;A;✘
10;51;E;D;✘
10;52;C;B;✘
10;53;A;C;✘
10;54;A;B;✘
10;55;D;C;✘
10;56;C;C;✓
10;57;B;A;✘
10;58;B;B;✓
10;59;D;D;✓
10;60;D;C;✘
13;1;E;A;✘
13;2;D;D;✓
13;3;A;A;✓
13;4;C;C;✓
13;5;D;D;✓
13;6;E;E;✓
13;7;A;A;✓
13;8;C;C;✓
13;9;E;E;✓
13;10;D;D;✓
13;11;C;C;✓
13;12;E;C;✘
13;13;B;B;✓
13;14;D;D;✓
13;15;C;C;✓
13;16;B;B;✓
13;17;D;D;✓
13;18;A;A;✓
13;19;D;D;✓
13;20;B;A;✘
13;21;D;A;✘
13;22;A;A;✓
13;23;C;C;✓
13;24;B;B;✓
13;25;A;A;✓
13;26;A;A;✓
13;27;C;C;✓
13;28;C;C;✓
13;29;B;B;✓
13;30;E;B;✘
13;31;C;C;✓
13;32;A;A;✓
13;33;B;B;✓
13;34;E;E;✓
13;35;D;D;✓
13;36;A;A;✓
13;37;B;B;✓
13;38;C;C;✓
13;39;E;C;✘
13;40;A;A;✓
13;41;C;A;✘
13;42;A;A;✓
13;43;C;C;✓
13;44;C;C;✓
13;45;C;A;✘
13;46;D;D;✓
13;47;E;C;✘
13;48;A;A;✓
13;49;C;C;✓
13;50;C;B;✘
13;51;E;E;✓
13;52;A;A;✓
13;53;D;A;✘
13;54;B;A;✘
13;55;C;C;✓
13;56;B;B;✓
13;57;A;A;✓
13;58;D;B;✘
13;59;B;B;✓
13;60;A;A;✓
14;1;D;A;✘
14;2;B;B;✓
14;3;E;D;✘
14;4;E;C;✘
14;5;B;B;✓
14;6;A;A;✓
14;7;E;E;✓
14;8;C;C;✓
14;9;B;B;✓
14;10;D;A;✘
14;11;D;D;✓
14;12;B;B;✓
14;13;B;B;✓
14;14;E;E;✓
14;15;E;E;✓
14;16;A;A;✓
14;17;C;C;✓
14;18;A;A;✓
14;19;B;A;✘
14;20;B;B;✓
14;21;D;A;✘
14;22;A;A;✓
14;23;B;B;✓
14;24;B;B;✓
14;25;D;D;✓
14;26;A;A;✓
14;27;E;E;✓
14;28;C;B;✘
14;29;C;C;✓
14;30;D;D;✓
14;31;C;C;✓
14;32;A;A;✓
14;33;C;C;✓
14;34;E;A;✘
14;35;D;A;✘
14;36;A;A;✓
14;37;D;C;✘
14;38;C;B;✘
14;39;B;B;✓
14;40;E;E;✓
14;41;D;A;✘
14;42;B;B;✓
14;43;B;A;✘
14;44;C;C;✓
14;45;E;D;✘
14;46;C;C;✓
14;47;A;A;✓
14;48;A;A;✓
14;49;C;A;✘
14;50;D;D;✓
14;51;C;B;✘
14;52;D;C;✘
14;53;A;A;✓
14;54;B;B;✓
14;55;A;A;✓
14;56;D;C;✘
14;57;A;A;✓
14;58;D;C;✘
14;59;E;C;✘
14;60;A;A;✓
15;1;D;D;✓
15;2;B;B;✓
15;3;A;A;✓
15;4;E;E;✓
15;5;B;D;✘
15;6;C;C;✓
15;7;D;D;✓
15;8;E;A;✘
15;9;B;B;✓
15;10;C;A;✘
15;11;B;C;✘
15;12;E;E;✓
15;13;C;C;✓
15;14;D;D;✓
15;15;E;E;✓
15;16;A;A;✓
15;17;A;A;✓
15;18;B;B;✓
15;19;C;C;✓
15;20;B;B;✓
15;21;D;D;✓
15;22;A;A;✓
15;23;E;E;✓
15;24;A;A;✓
15;25;D;B;✘
15;26;D;B;✘
15;27;C;A;✘
15;28;C;C;✓
15;29;C;A;✘
15;30;A;A;✓
15;31;E;C;✘
15;32;A;A;✓
15;33;B;B;✓
15;34;E;D;✘
15;35;B;B;✓
15;36;A;A;✓
15;37;B;B;✓
15;38;B;B;✓
15;39;D;D;✓
15;40;C;C;✓
15;41;C;A;✘
15;42;D;D;✓
15;43;A;C;✘
15;44;A;A;✓
15;45;A;C;✘
15;46;C;C;✓
15;47;E;D;✘
15;48;D;C;✘
15;49;C;C;✓
15;50;B;A;✘
15;51;C;C;✓
15;52;D;D;✓
15;53;A;A;✓
15;54;B;B;✓
15;55;A;A;✓
15;56;D;B;✘
15;57;E;E;✓
15;58;E;E;✓
15;59;E;D;✘
15;60;A;A;✓
18;1;B;A;✘
18;2;B;A;✘
18;3;A;A;✓
18;4;E;E;✓
18;5;A;A;✓
18;6;D;D;✓
18;7;A;A;✓
18;8;B;B;✓
18;9;A;A;✓
18;10;D;A;✘
18;11;C;B;✘
18;12;E;C;✘
18;13;B;B;✓
18;14;B;B;✓
18;15;E;E;✓
18;16;D;D;✓
18;17;B;B;✓
18;18;C;B;✘
18;19;D;C;✘
18;20;E;E;✓
18;21;D;A;✘
18;22;A;A;✓
18;23;B;A;✘
18;24;E;C;✘
18;25;D;D;✓
18;26;B;C;✘
18;27;C;D;✘
18;28;D;D;✓
18;29;A;A;✓
18;30;D;B;✘
18;31;E;B;✘
18;32;C;C;✓
18;33;E;E;✓
18;34;B;B;✓
18;35;A;A;✓
18;36;C;C;✓
18;37;B;B;✓
18;38;C;C;✓
18;39;B;A;✘
18;40;D;D;✓
18;41;E;A;✘
18;42;C;A;✘
18;43;D;A;✘
18;44;B;B;✓
18;45;E;E;✓
18;46;A;A;✓
18;47;D;B;✘
18;48;C;D;✘
18;49;C;A;✘
18;50;D;B;✘
18;51;B;B;✓
18;52;E;E;✓
18;53;C;C;✓
18;54;D;A;✘
18;55;D;D;✓
18;56;B;B;✓
18;57;A;A;✓
18;58;D;A;✘
18;59;E;E;✓
18;60;A;A;✓
19;1;B;B;✓
19;2;D;D;✓
19;3;D;D;✓
19;4;E;E;✓
19;5;B;B;✓
19;6;A;B;✘
19;7;C;C;✓
19;8;A;A;✓
19;9;D;C;✘
19;10;A;A;✓
19;11;A;A;✓
19;12;E;E;✓
19;13;A;A;✓
19;14;C;C;✓
19;15;D;D;✓
19;16;E;E;✓
19;17;B;B;✓
19;18;B;B;✓
19;19;C;B;✘
19;20;B;B;✓
19;21;E;E;✓
19;22;A;D;✘
19;23;B;B;✓
19;24;D;B;✘
19;25;E;B;✘
19;26;C;B;✘
19;27;B;B;✓
19;28;C;B;✘
19;29;E;C;✘
19;30;E;E;✓
19;31;C;C;✓
19;32;A;A;✓
19;33;C;C;✓
19;34;D;D;✓
19;35;D;D;✓
19;36;A;A;✓
19;37;B;A;✘
19;38;D;D;✓
19;39;B;B;✓
19;40;A;A;✓
19;41;D;B;✘
19;42;B;B;✓
19;43;B;B;✓
19;44;B;A;✘
19;45;D;D;✓
19;46;D;D;✓
19;47;E;E;✓
19;48;C;C;✓
19;49;C;C;✓
19;50;A;A;✓
19;51;E;C;✘
19;52;E;C;✘
19;53;A;A;✓
19;54;D;A;✘
19;55;B;B;✓
19;56;A;A;✓
19;57;D;D;✓
19;58;D;D;✓
19;59;C;C;✓
19;60;A;A;✓
22;1;D;A;✘
22;2;B;A;✘
22;3;A;A;✓
22;4;D;D;✓
22;5;A;A;✓
22;6;B;B;✓
22;7;A;A;✓
22;8;C;C;✓
22;9;E;E;✓
22;10;D;D;✓
22;11;B;B;✓
22;12;D;D;✓
22;13;B;A;✘
22;14;C;C;✓
22;15;D;D;✓
22;16;A;A;✓
22;17;D;D;✓
22;18;D;D;✓
22;19;D;D;✓
22;20;B;B;✓
22;21;E;A;✘
22;22;A;A;✓
22;23;C;A;✘
22;24;C;C;✓
22;25;B;B;✓
22;26;B;B;✓
22;27;E;E;✓
22;28;C;C;✓
22;29;E;B;✘
22;30;E;D;✘
22;31;C;C;✓
22;32;E;A;✘
22;33;B;B;✓
22;34;E;D;✘
22;35;D;C;✘
22;36;B;B;✓
22;37;B;D;✘
22;38;C;C;✓
22;39;D;D;✓
22;40;C;C;✓
22;41;D;A;✘
22;42;A;A;✓
22;43;C;C;✓
22;44;E;E;✓
22;45;C;C;✓
22;46;D;D;✓
22;47;C;C;✓
22;48;B;B;✓
22;49;C;C;✓
22;50;D;D;✓
22;51;D;C;✘
22;52;B;B;✓
22;53;A;A;✓
22;54;D;D;✓
22;55;A;A;✓
22;56;D;D;✓
22;57;A;A;✓
22;58;B;B;✓
22;59;E;C;✘
22;60;A;A;✓
23;1;B;B;✓
23;2;E;E;✓
23;3;D;D;✓
23;4;E;D;✘
23;5;C;C;✓
23;6;A;A;✓
23;7;B;B;✓
23;8;B;B;✓
23;9;E;E;✓
23;10;D;C;✘
23;11;B;B;✓
23;12;C;C;✓
23;13;C;C;✓
23;14;D;D;✓
23;15;B;B;✓
23;16;D;D;✓
23;17;B;B;✓
23;18;C;C;✓
23;19;D;D;✓
23;20;B;B;✓
23;21;D;D;✓
23;22;A;A;✓
23;23;C;C;✓
23;24;B;B;✓
23;25;A;A;✓
23;26;A;A;✓
23;27;A;A;✓
23;28;C;C;✓
23;29;B;C;✘
23;30;E;E;✓
23;31;C;C;✓
23;32;B;B;✓
23;33;B;B;✓
23;34;B;B;✓
23;35;C;C;✓
23;36;E;E;✓
23;37;C;C;✓
23;38;C;C;✓
23;39;A;A;✓
23;40;E;E;✓
23;41;E;E;✓
23;42;A;A;✓
23;43;D;D;✓
23;44;C;C;✓
23;45;C;C;✓
23;46;D;D;✓
23;47;A;A;✓
23;48;D;D;✓
23;49;C;C;✓
23;50;C;C;✓
23;51;E;E;✓
23;52;D;B;✘
23;53;A;A;✓
23;54;C;A;✘
23;55;A;A;✓
23;56;C;C;✓
23;57;A;A;✓
23;58;B;B;✓
23;59;A;A;✓
23;60;A;A;✓
27;1;C;B;✘
27;2;*;D;✘
27;3;E;B;✘
27;4;B;B;✓
27;5;B;B;✓
27;6;A;A;✓
27;7;C;C;✓
27;8;D;C;✘
27;9;C;C;✓
27;10;D;D;✓
27;11;C;C;✓
27;12;E;A;✘
27;13;D;D;✓
27;14;C;C;✓
27;15;B;C;✘
27;16;A;A;✓
27;17;D;D;✓
27;18;C;C;✓
27;19;E;D;✘
27;20;B;A;✘
27;21;E;E;✓
27;22;D;D;✓
27;23;A;A;✓
27;24;B;B;✓
27;25;C;B;✘
27;26;C;C;✓
27;27;C;C;✓
27;28;A;A;✓
27;29;E;E;✓
27;30;D;D;✓
27;31;A;A;✓
27;32;B;B;✓
27;33;B;B;✓
27;34;B;D;✘
27;35;E;E;✓
27;36;D;D;✓
27;37;B;B;✓
27;38;C;D;✘
27;39;E;E;✓
27;40;E;E;✓
27;41;D;D;✓
27;42;B;A;✘
27;43;D;D;✓
27;44;B;A;✘
27;45;A;A;✓
27;46;D;B;✘
27;47;E;D;✘
27;48;B;B;✓
27;49;C;C;✓
27;50;E;C;✘
27;51;B;B;✓
27;52;D;B;✘
27;53;A;B;✘
27;54;C;A;✘
27;55;A;A;✓
27;56;D;D;✓
27;57;C;C;✓
27;58;B;B;✓
27;59;B;B;✓
27;60;A;A;✓
30;1;B;A;✘
30;2;B;B;✓
30;3;C;A;✘
30;4;E;E;✓
30;5;B;B;✓
30;6;A;A;✓
30;7;E;E;✓
30;8;B;C;✘
30;9;D;D;✓
30;10;B;B;✓
30;11;D;D;✓
30;12;B;B;✓
30;13;B;B;✓
30;14;C;C;✓
30;15;A;A;✓
30;16;D;D;✓
30;17;B;B;✓
30;18;E;D;✘
30;19;D;B;✘
30;20;A;A;✓
30;21;E;A;✘
30;22;E;E;✓
30;23;E;E;✓
30;24;C;C;✓
30;25;C;C;✓
30;26;A;A;✓
30;27;C;C;✓
30;28;D;D;✓
30;29;D;D;✓
30;30;D;B;✘
30;31;E;B;✘
30;32;C;C;✓
30;33;C;B;✘
30;34;A;A;✓
30;35;D;D;✓
30;36;B;B;✓
30;37;D;D;✓
30;38;B;B;✓
30;39;A;A;✓
30;40;D;C;✘
30;41;B;A;✘
30;42;E;A;✘
30;43;B;B;✓
30;44;D;D;✓
30;45;C;C;✓
30;46;B;B;✓
30;47;A;A;✓
30;48;C;C;✓
30;49;C;B;✘
30;50;D;C;✘
30;51;C;D;✘
30;52;B;B;✓
30;53;D;D;✓
30;54;E;D;✘
30;55;A;A;✓
30;56;C;C;✓
30;57;A;A;✓
30;58;A;A;✓
30;59;E;E;✓
30;60;A;A;✓
32;1;B;B;✓
32;2;D;D;✓
32;3;C;C;✓
32;4;E;A;✘
32;5;A;A;✓
32;6;A;A;✓
32;7;C;C;✓
32;8;A;A;✓
32;9;A;A;✓
32;10;D;D;✓
32;11;D;D;✓
32;12;B;B;✓
32;13;D;D;✓
32;14;B;B;✓
32;15;E;E;✓
32;16;D;A;✘
32;17;B;B;✓
32;18;A;A;✓
32;19;B;B;✓
32;20;B;B;✓
32;21;E;E;✓
32;22;B;B;✓
32;23;E;E;✓
32;24;B;B;✓
32;25;B;B;✓
32;26;B;B;✓
32;27;A;A;✓
32;28;D;C;✘
32;29;C;C;✓
32;30;D;C;✘
32;31;C;C;✓
32;32;E;D;✘
32;33;E;E;✓
32;34;E;E;✓
32;35;D;D;✓
32;36;B;B;✓
32;37;B;B;✓
32;38;C;C;✓
32;39;A;A;✓
32;40;D;D;✓
32;41;C;C;✓
32;42;C;C;✓
32;43;B;B;✓
32;44;C;B;✘
32;45;A;A;✓
32;46;E;E;✓
32;47;B;B;✓
32;48;A;A;✓
32;49;A;A;✓
32;50;D;C;✘
32;51;D;B;✘
32;52;E;E;✓
32;53;C;C;✓
32;54;B;A;✘
32;55;D;D;✓
32;56;A;A;✓
32;57;E;D;✘
32;58;D;C;✘
32;59;C;C;✓
32;60;A;A;✓
35;1;D;D;✓
35;2;B;B;✓
35;3;D;B;✘
35;4;A;A;✓
35;5;D;C;✘
35;6;A;C;✘
35;7;E;E;✓
35;8;E;E;✓
35;9;B;B;✓
35;10;B;C;✘
35;11;E;E;✓
35;12;A;A;✓
35;13;B;B;✓
35;14;A;A;✓
35;15;A;A;✓
35;16;A;C;✘
35;17;B;B;✓
35;18;D;C;✘
35;19;A;A;✓
35;20;B;D;✘
35;21;E;E;✓
35;22;A;A;✓
35;23;B;B;✓
35;24;B;B;✓
35;25;B;B;✓
35;26;E;E;✓
35;27;C;C;✓
35;28;C;C;✓
35;29;E;A;✘
35;30;D;D;✓
35;31;C;C;✓
35;32;C;C;✓
35;33;B;B;✓
35;34;B;B;✓
35;35;A;A;✓
35;36;A;A;✓
35;37;B;B;✓
35;38;C;D;✘
35;39;A;A;✓
35;40;B;B;✓
35;41;C;C;✓
35;42;E;E;✓
35;43;B;B;✓
35;44;C;C;✓
35;45;D;D;✓
35;46;E;E;✓
