questao;resposta;id_prova
1;B;2
2;E;2
3;A;2
4;C;2
5;A;2
6;B;2
7;E;2
8;C;2
9;D;2
10;C;2
11;C;2
12;D;2
13;B;2
14;A;2
15;E;2
16;C;2
17;D;2
18;B;2
19;C;2
20;A;2
21;B;2
22;A;2
23;E;2
24;B;2
25;B;2
26;D;2
27;C;2
28;C;2
29;D;2
30;E;2
31;C;2
32;A;2
33;E;2
34;B;2
35;B;2
36;A;2
37;C;2
38;B;2
39;A;2
40;D;2
41;D;2
42;A;2
43;E;2
44;D;2
45;D;2
46;A;2
47;C;2
48;C;2
49;C;2
50;C;2
51;D;2
52;C;2
53;A;2
54;D;2
55;A;2
56;C;2
57;B;2
58;B;2
59;E;2
60;A;2
1;D;4
2;E;4
3;C;4
4;D;4
5;B;4
6;A;4
7;E;4
8;E;4
9;B;4
10;D;4
11;C;4
12;A;4
13;A;4
14;C;4
15;A;4
16;D;4
17;A;4
18;B;4
19;C;4
20;A;4
21;A;4
22;A;4
23;E;4
24;B;4
25;A;4
26;A;4
27;A;4
28;B;4
29;B;4
30;B;4
31;A;4
32;E;4
33;C;4
34;B;4
35;A;4
36;A;4
37;B;4
38;B;4
39;A;4
40;D;4
41;A;4
42;A;4
43;D;4
44;A;4
45;A;4
46;D;4
47;B;4
48;D;4
49;C;4
50;D;4
51;E;4
52;C;4
53;A;4
54;A;4
55;D;4
56;D;4
57;D;4
58;A;4
59;B;4
60;A;4
1;A;5
2;C;5
3;C;5
4;B;5
5;B;5
6;A;5
7;D;5
8;A;5
9;D;5
10;E;5
11;D;5
12;D;5
13;B;5
14;B;5
15;A;5
16;A;5
17;B;5
18;B;5
19;B;5
20;C;5
21;A;5
22;A;5
23;E;5
24;E;5
25;B;5
26;A;5
27;A;5
28;C;5
29;C;5
30;E;5
31;C;5
32;A;5
33;C;5
34;A;5
35;C;5
36;A;5
37;C;5
38;C;5
39;E;5
40;B;5
41;A;5
42;A;5
43;B;5
44;C;5
45;C;5
46;B;5
47;B;5
48;A;5
49;C;5
50;C;5
51;C;5
52;B;5
53;A;5
54;A;5
55;A;5
56;D;5
57;C;5
58;A;5
59;D;5
60;A;5
1;B;7
2;E;7
3;A;7
4;E;7
5;D;7
6;A;7
7;C;7
8;B;7
9;B;7
10;C;7
11;A;7
12;D;7
13;E;7
14;C;7
15;C;7
16;E;7
17;D;7
18;A;7
19;C;7
20;B;7
21;E;7
22;C;7
23;E;7
24;B;7
25;C;7
26;A;7
27;A;7
28;E;7
29;D;7
30;B;7
31;C;7
32;A;7
33;B;7
34;A;7
35;E;7
36;A;7
37;A;7
38;B;7
39;A;7
40;E;7
41;A;7
42;D;7
43;B;7
44;B;7
45;C;7
46;C;7
47;A;7
48;A;7
49;C;7
50;B;7
51;E;7
52;B;7
53;A;7
54;E;7
55;C;7
56;B;7
57;B;7
58;C;7
59;B;7
60;A;7
1;A;9
2;B;9
3;A;9
4;C;9
5;D;9
6;A;9
7;D;9
8;E;9
9;A;9
10;E;9
11;D;9
12;C;9
13;B;9
